Compound,Concentration_nM,Response_Pct,Well,Replicate
Staurosporine,10000.0,3.2,A1,1
Staurosporine,10000.0,2.91,B1,2
Staurosporine,10000.0,3.3,C1,3
Staurosporine,3333.3333,3.73,A2,1
Staurosporine,3333.3333,3.02,B2,2
Staurosporine,3333.3333,3.18,C2,3
Staurosporine,1111.1111,4.87,A3,1
Staurosporine,1111.1111,4.72,B3,2
Staurosporine,1111.1111,4.82,C3,3
Staurosporine,370.3704,8.93,A4,1
Staurosporine,370.3704,10.08,B4,2
Staurosporine,370.3704,10.01,C4,3
Staurosporine,123.4568,23.55,A5,1
Staurosporine,123.4568,25.29,B5,2
Staurosporine,123.4568,24.21,C5,3
Staurosporine,41.1523,48.01,A6,1
Staurosporine,41.1523,52.4,B6,2
Staurosporine,41.1523,47.65,C6,3
Staurosporine,13.7174,83.15,A7,1
Staurosporine,13.7174,78.06,B7,2
Staurosporine,13.7174,77.32,C7,3
Staurosporine,4.5725,87.42,A8,1
Staurosporine,4.5725,99.65,B8,2
Staurosporine,4.5725,90.8,C8,3
Staurosporine,1.5242,93.37,A9,1
Staurosporine,1.5242,93.88,B9,2
Staurosporine,1.5242,99.84,C9,3
Staurosporine,0.5081,100.02,A10,1
Staurosporine,0.5081,100.34,B10,2
Staurosporine,0.5081,100.47,C10,3
Rapamycin,10000.0,7.58,D1,1
Rapamycin,10000.0,6.4,E1,2
Rapamycin,10000.0,6.36,F1,3
Rapamycin,3333.3333,9.06,D2,1
Rapamycin,3333.3333,10.03,E2,2
Rapamycin,3333.3333,10.37,F2,3
Rapamycin,1111.1111,17.41,D3,1
Rapamycin,1111.1111,16.52,E3,2
Rapamycin,1111.1111,16.53,F3,3
Rapamycin,370.3704,36.0,D4,1
Rapamycin,370.3704,36.23,E4,2
Rapamycin,370.3704,35.74,F4,3
Rapamycin,123.4568,55.66,D5,1
Rapamycin,123.4568,59.33,E5,2
Rapamycin,123.4568,58.86,F5,3
Rapamycin,41.1523,79.45,D6,1
Rapamycin,41.1523,83.03,E6,2
Rapamycin,41.1523,79.48,F6,3
