Well,RawValue,WellType,Compound,Concentration_uM
A1,48210,positive_control,DMSO,0
A2,47893,positive_control,DMSO,0
A12,2104,negative_control,media,0
B12,2287,negative_control,media,0
A3,45102,sample,Staurosporine,0.001
A4,44567,sample,Staurosporine,0.003
A5,42011,sample,Staurosporine,0.01
A6,38234,sample,Staurosporine,0.03
A7,28901,sample,Staurosporine,0.1
A8,15678,sample,Staurosporine,0.3
A9,7823,sample,Staurosporine,1
A10,3456,sample,Staurosporine,3
A11,2567,sample,Staurosporine,10
B1,47560,positive_control,DMSO,0
B2,48102,positive_control,DMSO,0
B3,46789,sample,Dasatinib,0.001
B4,45234,sample,Dasatinib,0.003
B5,43901,sample,Dasatinib,0.01
B6,35678,sample,Dasatinib,0.03
B7,21345,sample,Dasatinib,0.1
B8,9876,sample,Dasatinib,0.3
B9,4321,sample,Dasatinib,1
B10,2890,sample,Dasatinib,3
B11,2345,sample,Dasatinib,10
C1,47890,positive_control,DMSO,0
C2,48456,positive_control,DMSO,0
C12,2198,negative_control,media,0
D12,2301,negative_control,media,0
C3,46123,sample,Rapamycin,0.001
C4,45890,sample,Rapamycin,0.003
C5,44567,sample,Rapamycin,0.01
C6,43210,sample,Rapamycin,0.03
C7,40123,sample,Rapamycin,0.1
C8,34567,sample,Rapamycin,0.3
C9,25678,sample,Rapamycin,1
C10,12345,sample,Rapamycin,3
C11,5678,sample,Rapamycin,10
D1,47234,positive_control,DMSO,0
D2,48567,positive_control,DMSO,0
D3,47890,sample,Imatinib,0.001
D4,47456,sample,Imatinib,0.003
D5,46789,sample,Imatinib,0.01
D6,45123,sample,Imatinib,0.03
D7,43456,sample,Imatinib,0.1
D8,39012,sample,Imatinib,0.3
D9,30456,sample,Imatinib,1
D10,18901,sample,Imatinib,3
D11,8765,sample,Imatinib,10
