Well,Value
A1,45023
A2,44891
A3,12045
A4,11987
A5,25034
A6,24876
A7,38901
A8,39102
A9,8923
A10,9012
A11,45123
A12,44987
B1,44567
B2,44321
B3,15234
B4,15087
B5,22145
B6,21998
B7,35678
B8,35432
B9,10234
B10,10456
B11,44890
B12,45012
C1,45234
C2,44978
C3,18923
C4,18765
C5,28901
C6,28654
C7,32456
C8,32789
C9,11234
C10,11098
C11,45345
C12,44876
D1,44789
D2,45123
D3,9876
D4,9654
D5,19876
D6,19543
D7,30123
D8,30456
D9,12345
D10,12567
D11,45098
D12,44765
E1,45456
E2,44987
E3,14567
E4,14321
E5,24567
E6,24321
E7,36789
E8,36543
E9,9567
E10,9789
E11,44678
E12,45234
F1,44890
F2,45345
F3,11234
F4,11098
F5,21345
F6,21567
F7,33456
F8,33789
F9,10876
F10,10654
F11,45567
F12,44890
G1,45123
G2,44678
G3,16789
G4,16543
G5,26789
G6,26543
G7,37890
G8,37654
G9,9234
G10,9456
G11,44987
G12,45345
H1,44567
H2,45098
H3,13456
H4,13210
H5,23456
H6,23210
H7,34567
H8,34321
H9,11567
H10,11789
H11,45234
H12,44678
