Sample,Condition,Gene,Ct_Rep1,Ct_Rep2,Ct_Rep3,Is_Reference_Gene
Vehicle_Control,DMSO_0.1pct,GAPDH,18.21,18.35,18.28,yes
Vehicle_Control,DMSO_0.1pct,ACTB,17.89,17.95,17.82,yes
Vehicle_Control,DMSO_0.1pct,TP53,28.45,28.52,28.38,no
Vehicle_Control,DMSO_0.1pct,BCL2,25.12,25.23,25.08,no
Vehicle_Control,DMSO_0.1pct,BAX,26.78,26.85,26.71,no
Vehicle_Control,DMSO_0.1pct,CASP3,27.34,27.41,27.28,no
Treated_Low,Staurosporine_10nM,GAPDH,18.34,18.28,18.41,yes
Treated_Low,Staurosporine_10nM,ACTB,17.92,17.88,17.96,yes
Treated_Low,Staurosporine_10nM,TP53,26.12,26.18,26.05,no
Treated_Low,Staurosporine_10nM,BCL2,24.56,24.62,24.49,no
Treated_Low,Staurosporine_10nM,BAX,24.23,24.31,24.18,no
Treated_Low,Staurosporine_10nM,CASP3,24.89,24.95,24.82,no
Treated_Mid,Staurosporine_100nM,GAPDH,18.45,18.38,18.52,yes
Treated_Mid,Staurosporine_100nM,ACTB,17.98,17.91,18.05,yes
Treated_Mid,Staurosporine_100nM,TP53,24.01,24.08,23.95,no
Treated_Mid,Staurosporine_100nM,BCL2,23.89,23.95,23.82,no
Treated_Mid,Staurosporine_100nM,BAX,22.45,22.52,22.38,no
Treated_Mid,Staurosporine_100nM,CASP3,22.12,22.19,22.05,no
Treated_High,Staurosporine_1uM,GAPDH,18.56,18.49,18.63,yes
Treated_High,Staurosporine_1uM,ACTB,18.01,17.95,18.08,yes
Treated_High,Staurosporine_1uM,TP53,22.34,22.41,22.28,no
Treated_High,Staurosporine_1uM,BCL2,23.12,23.18,23.05,no
Treated_High,Staurosporine_1uM,BAX,21.01,21.08,20.95,no
Treated_High,Staurosporine_1uM,CASP3,20.45,20.52,20.38,no
